               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 141,            0.018938,            0.016821,           0.0040841,             0.81863,             0.74028,             0.78918,             0.56359,            0.030121,            0.022488,           0.0093431,           0.0059704,           0.0059704,           0.0059704
                 142,            0.019232,             0.01709,           0.0041706,               0.823,             0.73382,             0.78818,             0.56283,            0.030154,            0.022521,           0.0093727,           0.0059235,           0.0059235,           0.0059235
                 143,            0.018933,             0.01677,           0.0040903,             0.81555,             0.74223,             0.78846,             0.56397,            0.030134,            0.022456,           0.0092133,           0.0058766,           0.0058766,           0.0058766
                 144,            0.018602,            0.016831,            0.004203,              0.8225,             0.73455,             0.78729,             0.56263,            0.030137,             0.02252,           0.0091823,           0.0058296,           0.0058296,           0.0058296
                 145,            0.018437,            0.016396,           0.0038857,             0.82316,             0.73349,             0.78842,             0.56269,            0.030113,            0.022607,           0.0091714,           0.0057826,           0.0057826,           0.0057826
                 146,            0.018466,            0.016391,           0.0039923,              0.8232,             0.73853,             0.78789,             0.56243,            0.030125,            0.022625,           0.0091112,           0.0057355,           0.0057355,           0.0057355
                 147,            0.018941,             0.01696,           0.0039474,             0.82036,             0.74673,              0.7899,              0.5633,            0.030147,            0.022618,            0.009085,           0.0056884,           0.0056884,           0.0056884
                 148,            0.018632,            0.016533,            0.003681,             0.82905,             0.74157,              0.7896,             0.56239,            0.030154,             0.02267,           0.0090493,           0.0056413,           0.0056413,           0.0056413
                 149,            0.018236,            0.016235,           0.0036902,             0.83264,             0.73954,             0.78948,             0.56213,            0.030114,            0.022711,           0.0090261,           0.0055942,           0.0055942,           0.0055942
                 150,            0.018474,            0.016639,           0.0038964,             0.83026,             0.73978,              0.7888,              0.5636,             0.03009,            0.022794,           0.0090692,           0.0055471,           0.0055471,           0.0055471
                 151,             0.01876,            0.016826,           0.0040033,             0.82483,             0.74439,             0.78914,             0.56391,            0.030031,            0.022708,           0.0089978,              0.0055,              0.0055,              0.0055
                 152,            0.018529,            0.016483,           0.0037616,              0.8259,             0.73923,             0.78955,             0.56343,            0.030031,            0.022762,           0.0091061,           0.0054529,           0.0054529,           0.0054529
                 153,            0.018272,            0.016502,            0.003647,             0.81246,             0.75094,             0.79078,             0.56483,             0.03002,            0.022836,           0.0091542,           0.0054058,           0.0054058,           0.0054058
                 154,            0.018286,            0.016062,           0.0036829,             0.82311,             0.74234,             0.78988,             0.56458,             0.03007,            0.022899,             0.00919,           0.0053587,           0.0053587,           0.0053587
